v190 early_fraction 0.0
  probability_tail_without_prior_pv_wait {'n': 384, 'min_us': 0.128, 'median_us': 0.16, 'p95_us': 0.192, 'max_us': 0.416, 'mean_us': 0.17616666666666667}
  qk_issue_relative_previous_pv {'n': 360, 'min_us': 0.544, 'median_us': 0.576, 'p95_us': 0.608, 'max_us': 1.44, 'mean_us': 0.5873777777777778}
v265 early_fraction 0.0
  compute_full_wait {'n': 384, 'min_us': 0.032, 'median_us': 0.064, 'p95_us': 1.088, 'max_us': 2.24, 'mean_us': 0.13641666666666666}
  compute_qk_wait {'n': 384, 'min_us': 0.32, 'median_us': 0.352, 'p95_us': 0.544, 'max_us': 0.576, 'mean_us': 0.37424999999999997}
  compute_pv_wait {'n': 384, 'min_us': 0.608, 'median_us': 0.672, 'p95_us': 0.704, 'max_us': 0.704, 'mean_us': 0.6663333333333333}
  score_load_observation {'n': 384, 'min_us': 0.0, 'median_us': 0.0, 'p95_us': 0.032, 'max_us': 0.032, 'mean_us': 0.011583333333333334}
  softmax_high {'n': 384, 'min_us': 0.32, 'median_us': 0.384, 'p95_us': 0.416, 'max_us': 0.448, 'mean_us': 0.3805}
  probability_tail {'n': 384, 'min_us': 0.128, 'median_us': 0.16, 'p95_us': 0.224, 'max_us': 0.416, 'mean_us': 0.17666666666666667}
  issuer_p_wait {'n': 384, 'min_us': 0.608, 'median_us': 0.672, 'p95_us': 0.736, 'max_us': 0.928, 'mean_us': 0.67525}
  qk_submission {'n': 384, 'min_us': 0.32, 'median_us': 0.352, 'p95_us': 0.352, 'max_us': 0.384, 'mean_us': 0.3378333333333333}
  pv_submission {'n': 384, 'min_us': 0.32, 'median_us': 0.352, 'p95_us': 0.384, 'max_us': 0.384, 'mean_us': 0.36191666666666666}
  producer_empty_wait {'n': 336, 'min_us': 0.224, 'median_us': 0.96, 'p95_us': 1.184, 'max_us': 1.376, 'mean_us': 0.9882857142857143}
  producer_after_empty {'n': 336, 'min_us': 0.608, 'median_us': 0.64, 'p95_us': 0.704, 'max_us': 1.312, 'mean_us': 0.656952380952381}
  cta_observed_span {'n': 24, 'min_us': 28.064, 'median_us': 28.592, 'p95_us': 30.464, 'max_us': 31.808, 'mean_us': 28.796}
  probability_tail_without_prior_pv_wait {'n': 384, 'min_us': 0.128, 'median_us': 0.16, 'p95_us': 0.224, 'max_us': 0.416, 'mean_us': 0.17666666666666667}
  qk_issue_relative_previous_pv {'n': 360, 'min_us': 0.544, 'median_us': 0.576, 'p95_us': 0.608, 'max_us': 1.184, 'mean_us': 0.5834666666666667}
